id,created_at,text,likes,in reply to,retweeted
996723415900925953,2018-05-16 12:05:55,"POLONIA, ¿cómo se está haciendo RICA? - VisualPolitik - YouTube https://t.co/exVIgDzn15",0,,False,
994853077323800577,2018-05-11 08:13:51,"RT @UnboxTherapy: *GIVEAWAY TIME*
Here's your chance to win your very own 4K projector from @OptomaUSA - Just retweet this tweet + make sur…",0,,True,
994852400757387270,2018-05-11 08:11:10,Was Karl Marx right? | The Economist - YouTube https://t.co/1FQ0FkETyB,0,,False,
994186153648623616,2018-05-09 12:03:44,Lo mejor de Google I/O 2018 - YouTube https://t.co/03HTZ7NX28,0,,False,
993794538509688833,2018-05-08 10:07:36,La ventanilla para ciegos Ford https://t.co/LjodwaUDjU vía @YouTube,0,,False,
993148806526046209,2018-05-06 15:21:41,RT @SoyAmargada: Poner a un negro en su lugar 👏👏 https://t.co/v6aJa68tgK,0,,True,
993148084417806336,2018-05-06 15:18:49,RT @CICR_es: Su historia no tenía por qué terminar así. https://t.co/y2rOxvyqT8,0,,True,
993146635621486595,2018-05-06 15:13:04,El “momento Ciudadanos” – Metroscopia https://t.co/Rx2lQjQtA8,0,,False,
993144004161228800,2018-05-06 15:02:36,"Cuentas anuales de la Casa Real:
https://t.co/JizM5JQK4s https://t.co/9s8BwwiswY",0,,False,
992513975576334339,2018-05-04 21:19:06,"ExPro Outsourcing, un socio logístico ""de confianza"" https://t.co/en4GQ1VTYd",1,,False,
992512195073314816,2018-05-04 21:12:01,Cuando Google quiere vender exclusividad y no lo consigue https://t.co/5DW7aTAkcN,1,,False,
992508850942218240,2018-05-04 20:58:44,2018 Audi R8 Spyder Campaign: “Driver” - YouTube https://t.co/BGXOrC2gWP,0,,False,
992122426455724032,2018-05-03 19:23:13,It’s not you. Phones are designed to be addicting. https://t.co/UJtDX0KIOP,0,,False,
991625876411383811,2018-05-02 10:30:07,Twitter le vendió datos al mismo investigador de Cambridge Analytica que se los robó a Facebook https://t.co/3e85sit1m1 #tecnología #feedly,1,,False,
991558863718703107,2018-05-02 06:03:50,Página 12-13. Gran entrevista https://t.co/ST6bQ2AFAf,0,,False,
989961882315513856,2018-04-27 20:18:00,"Olé!
https://t.co/oXVn2mqm2H",0,,False,
989243109061091329,2018-04-25 20:41:51,Mucha razón 🤔 https://t.co/vcx4qKIZEj,0,,False,
989242920757792768,2018-04-25 20:41:06,RT @agarzon: Dimite Cifuentes: tarde y mal. Tarde porque debería haber pasado hace semanas y nos ahorrábamos sus mentiras y cinismo. Y mal…,0,,True,
989050075086237696,2018-04-25 07:54:48,La primera fotografía tomada en la Luna por Neil Armstrong es el perfecto retrato de la humanidad https://t.co/1pkIhFWTHZ #ciencia #feedly,0,,False,
988687464591187968,2018-04-24 07:53:55,BMW apuesta por la pila de combustible https://t.co/VdbZVsq0YS #coches #feedly,0,,False,
988682721600901120,2018-04-24 07:35:04,Vete ya por favor https://t.co/vOBr1GJCuO,0,,False,
988682210248200193,2018-04-24 07:33:02,RT @RobertoLealG: Bravo por los baños de hombres con cambiador para bebé.,0,,True,
988681764603416576,2018-04-24 07:31:16,Buenas medidas de la UE https://t.co/F9F8qHNr6c #coches #feedly,0,,False,
988368728571203585,2018-04-23 10:47:22,https://t.co/XWw0gt8Rm7,0,,False,
987682363621724160,2018-04-21 13:20:00,Este canal es la polla: https://t.co/RfkfdyPFlZ,0,,False,
987674149295443968,2018-04-21 12:47:21,"The future of banking:
https://t.co/mDvaemdV6Z",0,,False,
987474904764297223,2018-04-20 23:35:38,Design... https://t.co/atCgvLyiQb,0,,False,
987473107358281729,2018-04-20 23:28:29,"Inspirational books 🤓
https://t.co/ES9JQhuBct",0,,False,
987428463249448961,2018-04-20 20:31:05,"Una pena, en especial para los que amamos la música electrónica :( D.E.P. https://t.co/xGkAX6aTMr",3,,False,
987288282844356608,2018-04-20 11:14:04,"""Meaning needs to be part of the core intent of an organization""
https://t.co/smWzq6aSvf",0,,False,
987269025603387392,2018-04-20 09:57:32,"Comercial de Jaguar...
https://t.co/8plCP7MTWb",0,,False,
987094350722191360,2018-04-19 22:23:27,Cómo las fintech están cambiando el mundo: https://t.co/UjxzE9vBye,0,,False,
